Player,Team,0,1,2,3,4,5,6
Williams X. ,Würzburg Baskets,0.38937692079395647,-0.4012956730006111,0.7004760577346639,0.5887495432599905,0.7125620169652167,-0.257096330626433,0.17389329763576786
Griffin B. ,MLP Academics Heidelberg,0.5692173545961862,1.4463761682561085,0.5248678585167413,0.6442533220757012,-0.159928025490667,-2.0310154150963675,-0.4089254640525889
Paul B. ,ratiopharm ulm,0.519569555189735,-1.1911503002200268,0.5680851296585744,0.8105953185240521,-0.5692413909136942,-0.3895042154266107,-0.5075996234110454
Wetzell Y. ,ALBA BERLIN,0.5776082854575254,1.4065137041158187,0.08339057389938093,0.05344373073201773,0.1603144659920065,-2.577753566181563,0.15199420188695426
Bonga I. ,FC Bayern München,0.5069051515185612,0.37057517432178705,0.6714795228978316,-0.08178987946915259,-0.5130057321428713,0.24112590407592088,-0.343052690616214
Robertson Q. ,FRAPORT SKYLINERS,0.47882389948418097,-0.39308035996461593,0.363885216826749,-0.6033327740822968,-0.6947216443624888,-0.04798235169238721,-1.072861765120011
Radosavljevic B. ,HAKRO Merlins Crailsheim,0.5408939901000068,-0.4325691128398158,0.6742500827271332,-0.2353469824677837,-1.0413189025260727,-0.2889709420023935,-1.3424044621511497
Jaramaz O. ,FC Bayern München,0.45901248682717455,-0.6090338352952552,-0.2389671387780824,0.05575802618538913,0.38520138326112224,-0.2854700716648844,-2.7092159283847805
Clark W. ,NINERS Chemnitz,0.6312279719159892,-0.4311991482640216,0.28281933232871065,-0.7569269478327004,-0.10605171020312228,-1.3920649107374097,1.0530689158621556
Sikma L. ,ALBA BERLIN,0.6215245033087045,0.9722194902055485,0.09733881380028568,-1.7222193964607972,-0.3259855643456391,-1.2954676976665915,1.2956941649935676
Davis D. ,MLP Academics Heidelberg,0.6630633261035762,-0.31076397607367295,0.6176334120671423,0.9610918058941126,-0.004243817061066906,-0.878979794096804,-0.45043354035683186
Wohlfarth-Bottermann J. ,Veolia Towers Hamburg,0.6071424229698023,1.5496168187014419,0.7733963317468437,0.5973670700549403,0.056057058825277534,-0.595514823309681,-2.3032607152126547
Tischler N. ,Basketball Löwen Braunschweig,0.5081364307486691,0.48310657656856715,0.5841459698634605,-0.5898433808909765,0.9737081989189829,-0.3631747334151883,-0.787524030935047
Obst A. ,FC Bayern München,0.7272924967423192,-1.2441806596098282,0.4914424528301053,0.6632037062723788,-0.6765617175500839,-0.5781889318135609,-0.06421540873553386
Tadda K. ,Telekom Baskets Bonn,0.7126214659485698,-1.3448280852130354,0.9862360448416648,-0.0015140260770811294,-1.0641673996464356,-0.18679740927418162,-0.22577229763312356
Rich O. ,medi bayreuth,0.7694053305422862,0.08418986436670076,0.13250277097097546,0.143601189854722,-1.1635341417499854,-1.1151511801438658,-2.521552274473481
Williams D. ,Telekom Baskets Bonn,0.6517542393376374,-0.15567731038414043,0.882063438787152,0.27045992214364056,-0.059068862923758736,-0.2506413124214047,-0.8880163615417527
Holyfield T. ,EWE Baskets Oldenburg,0.6713914397734411,1.010450120820191,1.310870204747573,-0.21017457571408216,-0.14935864906171276,-0.2014886509246729,0.2972953099720363
Ballock M. ,SYNTAINICS MBC,0.8391133015766453,-1.1778432326047188,0.8414436751451131,0.2952904959092567,-0.6334102206395646,-1.1945995253229016,1.0747680445772756
Walden C. ,FC Bayern München,0.8239403168238876,-0.9919412980754839,0.21947953149486787,-0.06698185189816185,-2.011623686383348,-0.8029795182990088,-1.892864421079395
Heckmann P. ,Brose Bamberg,0.8421629942047513,-0.023952251212789755,1.136628565135609,-0.799939710898792,-2.1292920505495654,-0.6682458875574898,-0.2865606461944089
Lo M. ,ALBA BERLIN,0.7279906077259264,-0.5133013033431982,-0.12030183175011072,-0.9089479309259799,-0.9610793271312286,-0.11451517578121691,-1.3603513275629682
Blatt T. ,ALBA BERLIN,0.6990635945643733,-1.444460489524369,-0.22853607772752432,-2.4711078786883864,-1.8705409317128667,0.3914870942102208,0.11968766507729023
Roland J. ,ROSTOCK SEAWOLVES,0.7027019638536902,-1.024183185854829,0.37188906613472494,-0.18162032824400456,0.1587889842317436,-0.11885747052107808,-0.6521931682144649
Ely S. ,MLP Academics Heidelberg,0.8441718717816596,-0.10748097273468374,0.1973956214978397,0.4540244402299601,-0.8527062285357618,-0.6776725365164591,-1.7559874972951228
Carvacho N. ,Würzburg Baskets,0.8417862083180235,1.4380310740230615,1.2150875031047887,0.024202234026766176,-0.2089666029922771,-1.5339266063735404,-0.41705073888817945
Haarms M. ,FRAPORT SKYLINERS,0.9439616766530995,1.208318618474055,0.6575559540932717,0.4348029699571499,-0.40727325886180793,-1.435517190706161,-1.105990061433484
Schoormann L. ,Veolia Towers Hamburg,0.9443434768112478,-0.778223673823702,0.5109345105522796,0.555644188280938,-0.5078462644952549,-1.377313731711303,-1.2096773933017546
Simmons G. ,Brose Bamberg,0.8089640489020796,-1.0092194642633523,-0.0044781695595706985,0.09191212166370147,0.8071210139092653,-0.677063101090575,-1.3600042520471092
Gloger T. ,ROSTOCK SEAWOLVES,0.9779480991675021,1.121805932082478,0.38499196820295983,0.43906032776191994,-0.181621137970087,-2.0489457407568006,-1.0418615487079816
Bruhnke K. ,medi bayreuth,0.8570550727398752,-1.0866000883250502,0.8103975270182547,0.3618223224056513,-0.3513921901960491,0.1213261441593311,-0.8551258330143109
